city,year,weekofyear,total_cases
sj,2011,9,21
sj,2011,10,17
sj,2011,11,17
sj,2011,12,19
sj,2011,13,23
sj,2011,14,28
sj,2011,15,26
sj,2011,16,23
sj,2011,17,26
sj,2011,18,31
sj,2011,19,28
sj,2011,20,36
sj,2011,21,41
sj,2011,22,39
sj,2011,23,40
sj,2011,24,49
sj,2011,25,44
sj,2011,26,44
sj,2011,27,42
sj,2011,28,40
sj,2011,29,44
sj,2011,30,44
sj,2011,31,43
sj,2011,32,43
sj,2011,33,44
sj,2011,34,47
sj,2011,35,42
sj,2011,36,44
sj,2011,37,48
sj,2011,38,43
sj,2011,39,40
sj,2011,40,41
sj,2011,41,44
sj,2011,42,42
sj,2011,43,41
sj,2011,44,41
sj,2011,45,38
sj,2011,46,41
sj,2011,47,37
sj,2011,48,33
sj,2011,49,28
sj,2011,50,30
sj,2011,51,28
sj,2012,52,29
sj,2012,1,28
sj,2012,2,25
sj,2012,3,27
sj,2012,4,21
sj,2012,5,21
sj,2012,6,20
sj,2012,7,24
sj,2012,8,15
sj,2012,9,24
sj,2012,10,22
sj,2012,11,21
sj,2012,12,22
sj,2012,13,22
sj,2012,14,26
sj,2012,15,30
sj,2012,16,27
sj,2012,17,25
sj,2012,18,35
sj,2012,19,30
sj,2012,20,37
sj,2012,21,32
sj,2012,22,33
sj,2012,23,37
sj,2012,24,41
sj,2012,25,40
sj,2012,26,43
sj,2012,27,42
sj,2012,28,42
sj,2012,29,44
sj,2012,30,43
sj,2012,31,44
sj,2012,32,43
sj,2012,33,47
sj,2012,34,47
sj,2012,35,42
sj,2012,36,40
sj,2012,37,41
sj,2012,38,43
sj,2012,39,47
sj,2012,40,44
sj,2012,41,43
sj,2012,42,46
sj,2012,43,45
sj,2012,44,44
sj,2012,45,43
sj,2012,46,42
sj,2012,47,44
sj,2012,48,36
sj,2012,49,34
sj,2012,50,35
sj,2012,51,32
sj,2013,1,27
sj,2013,2,31
sj,2013,3,27
sj,2013,4,21
sj,2013,5,26
sj,2013,6,22
sj,2013,7,21
sj,2013,8,23
sj,2013,9,25
sj,2013,10,26
sj,2013,11,19
sj,2013,12,20
sj,2013,13,47
sj,2013,14,26
sj,2013,15,29
sj,2013,16,10
sj,2013,17,26
iq,2010,26,5
iq,2010,27,3
iq,2010,28,9
iq,2010,29,1
iq,2010,30,2
iq,2010,31,5
iq,2010,32,-1
iq,2010,33,2
iq,2010,34,0
iq,2010,35,10
iq,2010,36,13
iq,2010,37,10
iq,2010,38,11
iq,2010,39,5
iq,2010,40,23
iq,2010,41,8
iq,2010,42,9
iq,2010,43,19
iq,2010,44,21
iq,2010,45,20
iq,2010,46,13
iq,2010,47,17
iq,2010,48,20
iq,2010,49,18
iq,2010,50,15
iq,2010,51,13
iq,2011,52,16
iq,2011,1,9
iq,2011,2,16
iq,2011,3,8
iq,2011,4,7
iq,2011,5,11
iq,2011,6,11
iq,2011,7,17
iq,2011,8,11
iq,2011,9,18
iq,2011,10,9
iq,2011,11,8
iq,2011,12,14
iq,2011,13,16
iq,2011,14,9
iq,2011,15,12
iq,2011,16,13
iq,2011,17,11
iq,2011,18,14
iq,2011,19,0
iq,2011,20,7
iq,2011,21,10
iq,2011,22,12
iq,2011,23,7
iq,2011,24,12
iq,2011,25,1
iq,2011,26,8
iq,2011,27,7
iq,2011,28,-3
iq,2011,29,-3
iq,2011,30,-6
iq,2011,31,-7
iq,2011,32,-1
iq,2011,33,-2
iq,2011,34,0
iq,2011,35,-4
iq,2011,36,-3
iq,2011,37,11
iq,2011,38,0
iq,2011,39,5
iq,2011,40,2
iq,2011,41,10
iq,2011,42,19
iq,2011,43,4
iq,2011,44,3
iq,2011,45,6
iq,2011,46,8
iq,2011,47,11
iq,2011,48,12
iq,2011,49,10
iq,2011,50,1
iq,2011,51,11
iq,2012,52,16
iq,2012,1,18
iq,2012,2,9
iq,2012,3,9
iq,2012,4,2
iq,2012,5,10
iq,2012,6,11
iq,2012,7,4
iq,2012,8,8
iq,2012,9,2
iq,2012,10,8
iq,2012,11,5
iq,2012,12,4
iq,2012,13,10
iq,2012,14,9
iq,2012,15,12
iq,2012,16,17
iq,2012,17,6
iq,2012,18,6
iq,2012,19,-1
iq,2012,20,5
iq,2012,21,-1
iq,2012,22,-2
iq,2012,23,5
iq,2012,24,-3
iq,2012,25,-7
iq,2012,26,2
iq,2012,27,-8
iq,2012,28,1
iq,2012,29,6
iq,2012,30,-10
iq,2012,31,-3
iq,2012,32,0
iq,2012,33,-1
iq,2012,34,0
iq,2012,35,5
iq,2012,36,0
iq,2012,37,-3
iq,2012,38,2
iq,2012,39,5
iq,2012,40,3
iq,2012,41,13
iq,2012,42,7
iq,2012,43,13
iq,2012,44,10
iq,2012,45,11
iq,2012,46,14
iq,2012,47,19
iq,2012,48,15
iq,2012,49,12
iq,2012,50,15
iq,2012,51,17
iq,2013,1,16
iq,2013,2,4
iq,2013,3,6
iq,2013,4,12
iq,2013,5,10
iq,2013,6,9
iq,2013,7,13
iq,2013,8,16
iq,2013,9,10
iq,2013,10,10
iq,2013,11,14
iq,2013,12,20
iq,2013,13,13
iq,2013,14,11
iq,2013,15,16
iq,2013,16,19
iq,2013,17,9
iq,2013,18,-8
iq,2013,19,9
iq,2013,20,2
iq,2013,21,16
iq,2013,22,4
iq,2013,23,1
iq,2013,24,-1
iq,2013,25,-8
iq,2013,26,-5
